category,source,date,format,evidence_depth,url,primary_signals
Consumer Electronics/Health Tech,SEACOMP Expert Insights (Article) - Expert Insights: Retail Success for Hardware Startups,2025-01-01,publisher_interview,high,https://www.seacomp.com/resources/expert-insights-retail-success-hardware-startups,retailer routing guides; compliance bibles; penalty structures; post-purchase support gaps; logistics windows; packaging labeling requirements
Consumer Electronics/Health Tech,TRADEOFFS: The Hardware Startup Podcast - Consumer Electronics Buyer to Retail Channel Product Launcher,2025-01-07,podcast_interview,medium,https://tradeoffs.fm/6,30+ years retail experience; retail partnerships; post-purchase support; common pitfalls for hardware startups entering retail
Consumer Electronics/Health Tech,Kaiyan Medical - Red Light Therapy Manufacturing & Solutions for Brands,2026,guide_article,moderate,https://www.kaiyanmedical.com/post/red-light-therapy-manufacturing-solutions,"FDA clearance, ISO 13485, OEM 3-month prototype timeline, 1200+ patents, custom packaging, Bluetooth/app integration, global regulatory coverage"
Consumer Electronics/Health Tech,RainbowDo: LED Therapy OEM Manufacturing Blueprint 2026,2026-01-01,industry_datapoints,moderate,https://www.rainbowdo.com/the-2026-founders-blueprint-navigating-led-light-therapy-oem-manufacturing/,200-500 unit MOQ white label; 1000+ custom OEM; 8-14 week prototype-to-stock; $10-50K first run; FDA/ISO/CE certification; wavelength accuracy
Consumer Electronics/Health Tech,TRADEOFFS: The Hardware Startup Podcast - Founders From The Show Floor - CES 2026,2026-02-04,podcast_interview,low,https://tradeoffs.fm/12,early-stage hardware founders; CES exhibitor challenges; product launch readiness; 13 founder mini-interviews
Consumer Electronics/Health Tech,TRADEOFFS: The Hardware Startup Podcast - Lessons from a Recovering Hardware Founder,2026-06-09,podcast_interview,low,https://tradeoffs.fm/episodes,AI product-compliance platform; regulatory challenges for hardware startups; compliance as scaling bottleneck
Consumer Electronics/Health Tech,TRADEOFFS - Design and Engineering Shouldn't Be Separate Islands,2026-07-27,podcast_episode,moderate,https://tradeoffs.fm/,"product development and R&D, design-engineering integration, hardware startup consulting"
Luxury/Jewelry,OSEA Malibu Blog - Meet Bouchra & Sophie of AUrate,2020,publisher_interview,medium,https://oseamalibu.com/blogs/wellness-blog/meet-bouchra-sophie-of-aurate,Store sections: sustainability + artisan manufacturing + finished product; recycled gold and ethical diamonds; NYC manufacturing; gallery-like store design
Luxury/Jewelry,Glossy Podcast - Gorjana's Founders on Growing a Profitable Jewelry Business,2020-05,publisher_interview,high,https://www.glossy.co/fashion/gorjana-founders-profitable-jewelry-business-dtc-nordstrom-gold/,DTC pivot (90% wholesale → 80% DTC); retail expansion; bootstrapping; Nordstrom partnership; profitable stores
Luxury/Jewelry,Female Startup Club - AUrate Co-Founders on Authenticity,2021,publisher_interview,medium,https://www.femalestartupclub.com/blogs/podcasts/bouchra-ezzahraoui-sophie-kahn-aurate,NYC manufacturing; 10 million data points for decisions; scaling from 10 to 50 pieces; recycled gold; ethical sourcing; supplier relationships
Luxury/Jewelry,Glossy Podcast - Mejuri Founder: Being Direct-to-Consumer Is Key,2023,publisher_interview,high,https://www.glossy.co/podcasts/mejuri-founder-noura-sakkijha-the-jewelry-industry-is-highly-fragmented/,$180B fragmented industry; DTC as quality+brand control; weekly new product launches via 3D modeling; ethical sourcing transparency; cutting middleman on pricing
Luxury/Jewelry,The Plumb Club Podcast - Sweating The Small Stuff,2023-01-01,podcast_interview,medium,https://plumbclub.com/resources/plumbclubpodcasts/,every customer touchpoint as brand story opportunity; jewelry packaging as brand experience; presentation details driving perception
Luxury/Jewelry,JCK Online - Interview with Co-CEOs of AUrate,2024,publisher_interview,high,https://www.jckonline.com/editorial-article/interview-with-coceos-aurate/,Store design differentiation; CAC efficiency (risen less than AOV); California expansion data-driven; profitability in 2020; price range $50-$5000; sustainability since 2016
Luxury/Jewelry,Lauren Lynch Substack - The Soul of Catbird: Leigh Batnick Plessner,2025,publisher_interview,medium,https://laurenlynch.substack.com/p/the-soul-of-catbird-leigh-batnick,Eye-level retail presentation (no cases); recycled diamonds second/third life; $16K startup to cultural phenomenon; 30+ jewelers in Brooklyn Navy Yard studio
Luxury/Jewelry,Glossy Podcast - Catbird's National Expansion: 10 More Stores by 2026,2025-03,publisher_interview,high,https://www.glossy.co/podcasts/leigh-batnick-plessner-on-brooklyn-born-catbirds-national-expansion-10-more-stores-by-2026/,In-house manufacturing at Brooklyn Navy Yard; 95% recycled diamonds; national expansion; material transparency; San Francisco opening
Luxury/Jewelry,Glossy - Dorsey Founder Meg Strachan on the Perks of Running a Very Lean Profitable Business,2026,podcast_episode,moderate,https://www.glossy.co/podcasts/dorsey-founder-meg-strachan-on-the-perks-of-running-a-very-lean-profitable-business/,"started with $600, profitable from early stage, operations and supply chain as deep focus, waitlist management, brand director as first hire"
Luxury/Jewelry,PKG Brand Design (Article) - Luxury Packaging Design: Balancing Elegance and Sustainability,2026-01-01,publisher_article,high,https://www.pkgbranding.com/blog/luxury-packaging-design-elegance-sustainability,74% consumers pay more for eco-packaging; mono-material solutions; EPR regulations; Burberry plastic-free by 2025; Gucci recyclable FSC; digital integration for authenticity
Luxury/Jewelry,JCK Online - The Jewelry District Podcast: 2026 Predictions,2026-01-14,podcast_episode,high,https://www.jckonline.com/editorial-article/jewelry-podcast-2026-predictions/,"jewelry outperforming luxury, economic bifurcation, color trends (red stones), beaded jewelry reducing gold use, gold potentially reaching $5000+, Middle East growth opportunity"
Luxury/Jewelry,Retail Dive (Article) - 3 DTC brands on why good old-fashioned retail still works,2026-01-15,publisher_interview,high,https://www.retaildive.com/news/dtc-brands-brick-and-mortar-stores-beyond-yoga-mejuri-coterie/809431/,60% net new customers in-store; eliminated glass cases for tactile experience; higher LTV from physical shoppers; 55 locations; jewelry-specific retail design
Luxury/Jewelry,The Jewelry District Podcast (JCK) - Reactions From the 2026 JCK Show Floor,2026-06-10,podcast_interview,high,https://www.jckonline.com/editorial-article/jck-show-26-interviews-podcast/,natural vs lab-grown rebalancing; colored stones momentum; retail inventory conservatism; designer identity demand; men's jewelry growth; premiumization trend
Luxury/Jewelry,The Plumb Club Podcast - Building Trust Through Responsible Sourcing,2026-07-08,podcast_interview,medium,https://plumbclub.podbean.com/,supply chain transparency; responsible sourcing standards; consumer trust through traceability; mine-to-market accountability
